unharmonized value	harmonized value
2	Intermediate Grade G2
3	High Grade G3
4	Anaplastic
g1	Low Grade G1
g2	Intermediate Grade G2
g3	High Grade G3
g4	Anaplastic
gb	Borderline GB
gx	null
high	High Grade G3
high grade	High Grade G3
intermediate grade	Intermediate Grade G2
low	Low Grade G1
low grade	Low Grade G1
medium	Intermediate Grade G2
none	null
