unharmonized value	NCBI Taxonomy ID	scientific name	CDA curated common name
canis lupus familiaris	9615	Canis lupus familiaris	dog
homo sapiens	9606	Homo sapiens	human
homo sapiens; mus musculus	1383439	Homo sapiens/Mus musculus xenograft	human/mouse xenograft
human	9606	Homo sapiens	human
mus musculus	10090	Mus musculus	mouse
