UBERON id	UBERON name	slim_disease_term	slim name		
UBERON:0002412	vertebra	UBERON_0001434	skeletal system		
UBERON:0001130	vertebral column	UBERON_0001434	skeletal system		
UBERON:0000981	femur	UBERON_0001434	skeletal system		
UBERON:0008962	forelimb bone	UBERON_0001434	skeletal system		
UBERON:0001440	forelimb skeleton	UBERON_0001434	skeletal system		
UBERON:0003464	hindlimb bone	UBERON_0001434	skeletal system		
UBERON:0003608	hindlimb long bone	UBERON_0001434	skeletal system		
UBERON:0001441	hindlimb skeleton	UBERON_0001434	skeletal system		
UBERON:0000976	humerus	UBERON_0001434	skeletal system		
UBERON:0001423	radius bone	UBERON_0001434	skeletal system		
UBERON:0000979	tibia	UBERON_0001434	skeletal system		
UBERON:0001424	ulna	UBERON_0001434	skeletal system		
UBERON:0002067	dermis	UBERON_0002097	Skin of Body		
UBERON:0002072	hypodermis	UBERON_0002097	Skin of Body		
UBERON:0002097	skin of body	UBERON_0002097	Skin of Body		
UBERON:1000021	skin of face	UBERON_0002097	Skin of Body		
UBERON:0001458	skin of lip	UBERON_0002097	Skin of Body		
UBERON:0001085	skin of trunk	UBERON_0002097	Skin of Body		
UBERON:0018151	skin of upper lip	UBERON_0002097	Skin of Body		
UBERON:0036149	suprapubic skin	UBERON_0002097	Skin of Body		
UBERON:0003531	forelimb skin	UBERON_0002097	Skin of Body		
UBERON:0003532	hindlimb skin	UBERON_0002097	Skin of Body		
UBERON:0002046	thyroid gland	UBERON_0002368	endocrine gland		
UBERON:0003567	abdomen connective tissue	UBERON_0002384	connective tissue		
UBERON:0001013	adipose tissue	UBERON_0002384	connective tissue		                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
UBERON:0007808	adipose tissue of abdominal region	UBERON_0002384	connective tissue		
UBERON:0003586	trunk connective tissue	UBERON_0002384	connective tissue		
UBERON:0003588	forelimb connective tissue	UBERON_0002384	connective tissue		
UBERON:0003589	hindlimb connective tissue	UBERON_0002384	connective tissue		
UBERON:0000178	blood	UBERON_0002390	hematopoietic system		
UBERON:0002371	bone marrow	UBERON_0002390	hematopoietic system		
UBERON:0002107	liver	UBERON_0002423	hepatobiliary system		
UBERON:0002507	abdominal lymph node	UBERON_0002465	lymphoid system		
UBERON:0001097	axillary lymph node	UBERON_0002465	lymphoid system		
UBERON:0039167	bronchopulmonary lymph node	UBERON_0002465	lymphoid system		
UBERON:0002429	cervical lymph node	UBERON_0002465	lymphoid system		
UBERON:0015878	common iliac lymph node	UBERON_0002465	lymphoid system		
UBERON:0038849	craniocervical lymph node	UBERON_0002465	lymphoid system		
UBERON:0015871	facial lymph node	UBERON_0002465	lymphoid system		
