harmonized_anatomic_site_term_id	harmonized_anatomic_site_term_name	harmonized_anatomic_site_term_count_in_last_CDA_release	slim_anatomic_site_term_id	slim_anatomic_site_term_name	slim_anatomic_site_term_count_in_last_CDA_release
UBERON:8480032	neck of pancreas	1	UBERON:0001264	pancreas	81718
UBERON:8480048	calf	274	UBERON:0002101	limb	8664
UBERON:8480051	thoracolumbar junction	62	UBERON:0002100	trunk	2004026
UBERON:8480059	perigastric lymph node	6	UBERON:0002465	lymphoid system	17129
UBERON:8480060	paraspinal region	11	UBERON:0002100	trunk	2004026
UBERON:8600043	lateral wall of urinary bladder	132	UBERON:0001008	renal system	277558
UBERON:8600046	anterior wall of urinary bladder	40	UBERON:0001008	renal system	277558
UBERON:8600047	posterior wall of urinary bladder	100	UBERON:0001008	renal system	277558
UBERON:8600048	apex of urinary bladder	32	UBERON:0001008	renal system	277558
UBERON:8600049	dome of urinary bladder	29	UBERON:0001008	renal system	277558
